"object_id","term_taxonomy_id","term_order"
"2818","39","0"
"2818","155","0"
"2997","31","0"
"2834","36","0"
"2834","97","0"
"2834","5","0"
"2847","156","0"
"2847","157","0"
"2847","5","0"
"2878","139","0"
"2878","11","0"
"2878","5","0"
"2890","102","0"
"2890","7","0"
"2890","82","0"
"2916","118","0"
"2916","11","0"
"2916","5","0"
"2976","58","0"
"2976","59","0"
"2976","39","0"
"2997","39","0"
"2997","32","0"
"3000","31","0"
"3000","39","0"
"3000","32","0"
"3040","31","0"
"3036","31","0"
"3036","120","0"
"3036","83","0"
"3036","5","0"
"3040","30","0"
"3040","32","0"
"2836","8","0"
"3042","18","0"
"3042","19","0"
"3042","39","0"
"3045","65","0"
"3045","7","0"
"3045","5","0"
"2813","74","0"
"2813","7","0"
"2813","5","0"
"2836","71","0"
"2836","121","0"
"2836","9","0"
"2887","7","0"
"2840","24","0"
"2840","21","0"
"2840","5","0"
"2883","17","0"
"2883","100","0"
"2883","5","0"
"2887","5","0"
"2887","22","0"
"2902","27","0"
"2893","8","0"
"2893","9","0"
"2893","5","0"
"2902","39","0"
"2902","28","0"
"2983","42","0"
"2913","72","0"
"2913","73","0"
"2913","5","0"
"2920","45","0"
"2920","46","0"
"2920","5","0"
"2928","87","0"
"2928","7","0"
"2928","5","0"
"2941","12","0"
"2941","7","0"
"2941","5","0"
"2980","17","0"
"2980","116","0"
"2980","5","0"
"2983","5","0"
"2983","21","0"
"2908","27","0"
"2986","43","0"
"2986","42","0"
"2986","44","0"
